mechanism,het,info,concentration,n,outcome_from,rho,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MAR,0.0,0.0,0.9,1000,shared,,1.0408340855860843e-16,0.1224375,12,0.943,2.973572115717008,0.097,0.7477301596104947,0.7409932466563489,0.7448115520542937,0.7345515346233052,0.7345515346233052,0.740466627167727,0.0,1.0,0,25,1000000000.0
MAR,0.0,0.0,0.9,4000,shared,,1.0408340855860843e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.6771216132879723,0.6849192586131068,0.6772312960064455,0.6851916352489503,0.6851916352489503,0.6961941210349569,0.0,1.0,0,25,1000000000.0
MAR,0.0,0.0,0.5,1000,shared,,7.697835424647081e-16,0.1178125,57,0.702,14.345958887345661,0.094,0.6941343991997933,0.6689194924078096,0.695123047504487,0.6644561209939437,0.6648733112273397,0.6869506262605154,0.00041719023339612524,0.5048449995952482,4,25,1000000000.0
MAR,0.0,0.0,0.5,4000,shared,,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10775,0.7959776274935446,0.7909083454762162,0.7953170368277606,0.7917658428853946,0.7926001426097813,0.8002095859097463,0.0008342997243866668,0.10880943004054568,3,25,1000000000.0
MAR,0.0,0.0,0.1,1000,shared,,3.301178774783864e-15,0.1161875,197,0.0,150.21272667168074,0.099,0.7187765394586165,0.6979126960794705,0.7180530170571865,0.6970123775648964,0.6970123775648966,0.7055662802778834,4.218847493575595e-17,1.0,8,25,1000000000.0
MAR,0.0,0.0,0.1,4000,shared,,1.381327777855157e-15,0.11921875,215,0.3665,161.16511830275894,0.0985,0.6085952635968588,0.5936360895580781,0.6082872326954882,0.5936115760192312,0.5950999279799497,0.6170396752564192,0.0014883519607185435,0.28504940740261275,2,25,1000000000.0
MAR,0.0,1.5,0.9,1000,shared,,1.0408340855860843e-16,0.1224375,12,0.943,2.973572115717008,0.102,0.7257337151900063,0.7409195878856676,0.7263349501103735,0.7382023971551276,0.7380898137275484,0.7425810976355923,-0.00011258342757905382,0.23250769389683978,6,25,1000000000.0
MAR,0.0,1.5,0.9,4000,shared,,1.0408340855860843e-16,0.15184375,12,0.982,2.867321830264796,0.09925,0.6191226695803087,0.6838663302351132,0.6188063344574359,0.6822640511253881,0.6834608747427717,0.6985711772791053,0.0011968236173836022,0.07961580146011343,4,25,1000000000.0
MAR,0.0,1.5,0.5,1000,shared,,7.697835424647081e-16,0.1178125,57,0.702,14.345958887345661,0.102,0.6672496773472492,0.6753684968103321,0.6707285096491198,0.674852726656529,0.6723231000640921,0.707736138988958,-0.0025296265924369577,0.5926536823123344,5,25,1000000000.0
MAR,0.0,1.5,0.5,4000,shared,,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10725,0.7818734142257839,0.7861140982119508,0.7814190814296238,0.786630446519776,0.7851891736349935,0.7922464030369943,-0.0014412728847824185,0.16820413904818,2,25,1000000000.0
MAR,0.0,1.5,0.1,1000,shared,,3.301178774783864e-15,0.1161875,197,0.0,150.21272667168074,0.098,0.6745455590154553,0.6659023967256501,0.6758795071317809,0.6619370257737621,0.6619615739307154,0.6725331803597305,2.4548156953225762e-05,0.31731050786291415,1,25,1000000000.0
MAR,0.0,1.5,0.1,4000,shared,,1.381327777855157e-15,0.11921875,215,0.3665,161.16511830275894,0.10025,0.46956013645699635,0.4654346206964957,0.4693852490286221,0.46537589702027504,0.4689047158836155,0.4849150168908085,0.003528818863340444,0.027707849358079864,6,25,1000000000.0
MAR,0.5,0.0,0.9,1000,shared,,0.45984597364394797,0.1224375,12,0.943,2.973572115717008,0.097,0.7477301596104947,0.7409932466563489,0.7448115520542937,0.7345515346233052,0.7345515346233052,0.740466627167727,0.0,1.0,0,25,1000000000.0
MAR,0.5,0.0,0.9,4000,shared,,0.4587795695510887,0.15184375,12,0.982,2.867321830264796,0.09725,0.6771216132879723,0.6849192586131068,0.6772312960064455,0.6851916352489503,0.6851916352489503,0.6961941210349569,0.0,1.0,0,25,1000000000.0
MAR,0.5,0.0,0.5,1000,shared,,0.4852803804949939,0.1178125,57,0.702,14.345958887345661,0.094,0.6941343991997933,0.6689194924078096,0.695123047504487,0.6644561209939437,0.6648733112273397,0.6869506262605154,0.00041719023339612524,0.5048449995952482,4,25,1000000000.0
MAR,0.5,0.0,0.5,4000,shared,,0.4882427141148721,0.11584375,60,0.8565,13.95740703241044,0.10775,0.7959776274935446,0.7909083454762162,0.7953170368277606,0.7917658428853946,0.7926001426097813,0.8002095859097463,0.0008342997243866668,0.10880943004054568,3,25,1000000000.0
MAR,0.5,0.0,0.1,1000,shared,,0.5034441404336315,0.1161875,197,0.0,150.21272667168074,0.099,0.7187765394586165,0.6979126960794705,0.7180530170571865,0.6970123775648964,0.6970123775648966,0.7055662802778834,4.218847493575595e-17,1.0,8,25,1000000000.0
MAR,0.5,0.0,0.1,4000,shared,,0.4899116848170214,0.11921875,215,0.3665,161.16511830275894,0.0985,0.6085952635968588,0.5936360895580781,0.6082872326954882,0.5936115760192312,0.5950999279799497,0.6170396752564192,0.0014883519607185435,0.28504940740261275,2,25,1000000000.0
MAR,0.5,1.5,0.9,1000,shared,,0.45984597364394797,0.1224375,12,0.943,2.973572115717008,0.102,0.7257337151900063,0.7409195878856676,0.7263349501103735,0.7382023971551276,0.7380898137275484,0.7425810976355923,-0.00011258342757905382,0.23250769389683978,6,25,1000000000.0
MAR,0.5,1.5,0.9,4000,shared,,0.4587795695510887,0.15184375,12,0.982,2.867321830264796,0.09925,0.6191226695803087,0.6838663302351132,0.6188063344574359,0.6822640511253881,0.6834608747427717,0.6985711772791053,0.0011968236173836022,0.07961580146011343,4,25,1000000000.0
MAR,0.5,1.5,0.5,1000,shared,,0.4852803804949939,0.1178125,57,0.702,14.345958887345661,0.102,0.6672496773472492,0.6753684968103321,0.6707285096491198,0.674852726656529,0.6723231000640921,0.707736138988958,-0.0025296265924369577,0.5926536823123344,5,25,1000000000.0
MAR,0.5,1.5,0.5,4000,shared,,0.4882427141148721,0.11584375,60,0.8565,13.95740703241044,0.10725,0.7818734142257839,0.7861140982119508,0.7814190814296238,0.786630446519776,0.7851891736349935,0.7922464030369943,-0.0014412728847824185,0.16820413904818,2,25,1000000000.0
MAR,0.5,1.5,0.1,1000,shared,,0.5034441404336315,0.1161875,197,0.0,150.21272667168074,0.098,0.6745455590154553,0.6659023967256501,0.6758795071317809,0.6619370257737621,0.6619615739307154,0.6725331803597305,2.4548156953225762e-05,0.31731050786291415,1,25,1000000000.0
MAR,0.5,1.5,0.1,4000,shared,,0.4899116848170214,0.11921875,215,0.3665,161.16511830275894,0.10025,0.46956013645699635,0.4654346206964957,0.4693852490286221,0.46537589702027504,0.4689047158836155,0.4849150168908085,0.003528818863340444,0.027707849358079864,6,25,1000000000.0
MAR,1.5,0.0,0.9,1000,shared,,1.3795379209318437,0.1224375,12,0.943,2.973572115717008,0.097,0.7477301596104947,0.7409932466563489,0.7448115520542937,0.7345515346233052,0.7345515346233052,0.740466627167727,0.0,1.0,0,25,1000000000.0
MAR,1.5,0.0,0.9,4000,shared,,1.376338708653266,0.15184375,12,0.982,2.867321830264796,0.09725,0.6771216132879723,0.6849192586131068,0.6772312960064455,0.6851916352489503,0.6851916352489503,0.6961941210349569,0.0,1.0,0,25,1000000000.0
MAR,1.5,0.0,0.5,1000,shared,,1.4558411414849817,0.1178125,57,0.702,14.345958887345661,0.094,0.6941343991997933,0.6689194924078096,0.695123047504487,0.6644561209939437,0.6648733112273397,0.6869506262605154,0.00041719023339612524,0.5048449995952482,4,25,1000000000.0
MAR,1.5,0.0,0.5,4000,shared,,1.4647281423446161,0.11584375,60,0.8565,13.95740703241044,0.10775,0.7959776274935446,0.7909083454762162,0.7953170368277606,0.7917658428853946,0.7926001426097813,0.8002095859097463,0.0008342997243866668,0.10880943004054568,3,25,1000000000.0
