mechanism,het,info,concentration,n,outcome_from,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MNAR,0.0,0.0,0.9,1000,shared,1.2750217548429532e-16,0.1224375,12,0.943,2.973572115717008,0.088,0.5472484173574081,0.5444303397261204,0.5454329863447522,0.5428208116423298,0.541653610944516,0.5588190211084624,-0.0011672006978136907,0.1588529378909529,7,25,1000000000.0
MNAR,0.0,0.0,0.9,4000,shared,9.063930161978817e-17,0.15184375,12,0.982,2.867321830264796,0.09775,0.6995840500712984,0.7030324142349693,0.6984778727496486,0.7006197888983289,0.7007098761712959,0.7057773975480565,9.008727296698104e-05,0.047067511344395,1,25,1000000000.0
MNAR,0.0,0.0,0.5,1000,shared,6.583275591331983e-16,0.1178125,57,0.702,14.345958887345661,0.098,0.6023606619787778,0.5955388184751375,0.6025257537120555,0.5965463963812145,0.5988437060413552,0.6431730581472973,0.0022973096601405897,0.34523107177184,3,25,1000000000.0
MNAR,0.0,0.0,0.5,4000,shared,5.412337245047638e-16,0.11584375,60,0.8565,13.95740703241044,0.10375,0.6436812166656058,0.6666701948285803,0.643688884940489,0.6660484943771812,0.6659136656392581,0.6733563936801856,-0.00013482873792304507,0.03165122103467292,14,25,1000000000.0
MNAR,0.0,0.0,0.1,1000,shared,2.867497905789662e-15,0.1161875,197,0.0,150.21272667168074,0.09,0.557585322671987,0.5289207038958886,0.5523241486148958,0.5303822652628116,0.5335852942922105,0.5701985053628252,0.0032030290293989495,0.3104944343172349,5,25,1000000000.0
MNAR,0.0,0.0,0.1,4000,shared,3.4416913763379853e-15,0.11921875,215,0.3665,161.16511830275894,0.10175,0.642197117007151,0.6498441271845732,0.6417368528670009,0.6494330696907415,0.670430769276076,0.697200587404952,0.020997699585334456,5.956977907456359e-05,21,25,1000.0
MNAR,0.0,1.5,0.9,1000,shared,1.2750217548429532e-16,0.1224375,12,0.943,2.973572115717008,0.089,0.549162508323488,0.5573540331366581,0.5440736283632128,0.5535114923265033,0.5535114923265033,0.5694342806360617,1.3322676295501878e-17,1.0,3,25,1000000000.0
MNAR,0.0,1.5,0.9,4000,shared,9.063930161978817e-17,0.15184375,12,0.982,2.867321830264796,0.1005,0.6639128427358273,0.6919847532362212,0.6637698973270151,0.6906647665812957,0.6906647665812957,0.698709924615794,8.881784197001253e-18,1.0,8,25,1000000000.0
MNAR,0.0,1.5,0.5,1000,shared,6.583275591331983e-16,0.1178125,57,0.702,14.345958887345661,0.098,0.6098240609072273,0.6330125963959299,0.6085763489370904,0.6253213508205739,0.6219176045585239,0.6598743839521769,-0.003403746262050016,0.4652088184521418,2,25,1000000000.0
MNAR,0.0,1.5,0.5,4000,shared,5.412337245047638e-16,0.11584375,60,0.8565,13.95740703241044,0.10225,0.5751737663799326,0.6104366365618326,0.5757737699778722,0.6104010175241936,0.6108477112003985,0.6296537551503408,0.00044669367620495224,0.028327821813946143,11,25,1000000000.0
MNAR,0.0,1.5,0.1,1000,shared,2.867497905789662e-15,0.1161875,197,0.0,150.21272667168074,0.091,0.49493908867112396,0.47218923610237745,0.49472082905046827,0.4702656497934804,0.4702656497934804,0.4924215065182213,0.0,1.0,0,25,1000000000.0
MNAR,0.0,1.5,0.1,4000,shared,3.4416913763379853e-15,0.11921875,215,0.3665,161.16511830275894,0.10025,0.5914312095728657,0.6150965513941755,0.5905288813528383,0.614955449459877,0.6199682656295739,0.6456269721410395,0.005012816169696768,0.005565187791739421,16,25,1000000000.0
MNAR,0.5,0.0,0.9,1000,shared,0.4529503937744953,0.1224375,12,0.943,2.973572115717008,0.088,0.5472484173574081,0.5444303397261204,0.5454329863447522,0.5428208116423298,0.541653610944516,0.5588190211084624,-0.0011672006978136907,0.1588529378909529,7,25,1000000000.0
MNAR,0.5,0.0,0.9,4000,shared,0.5007659873459318,0.15184375,12,0.982,2.867321830264796,0.09775,0.6995840500712984,0.7030324142349693,0.6984778727496486,0.7006197888983289,0.7007098761712959,0.7057773975480565,9.008727296698104e-05,0.047067511344395,1,25,1000000000.0
MNAR,0.5,0.0,0.5,1000,shared,0.46996753752164194,0.1178125,57,0.702,14.345958887345661,0.098,0.6023606619787778,0.5955388184751375,0.6025257537120555,0.5965463963812145,0.5988437060413552,0.6431730581472973,0.0022973096601405897,0.34523107177184,3,25,1000000000.0
MNAR,0.5,0.0,0.5,4000,shared,0.492129766401768,0.11584375,60,0.8565,13.95740703241044,0.10375,0.6436812166656058,0.6666701948285803,0.643688884940489,0.6660484943771812,0.6659136656392581,0.6733563936801856,-0.00013482873792304507,0.03165122103467292,14,25,1000000000.0
MNAR,0.5,0.0,0.1,1000,shared,0.4960742955857829,0.1161875,197,0.0,150.21272667168074,0.09,0.557585322671987,0.5289207038958886,0.5523241486148958,0.5303822652628116,0.5335852942922105,0.5701985053628252,0.0032030290293989495,0.3104944343172349,5,25,1000000000.0
MNAR,0.5,0.0,0.1,4000,shared,0.49173008716257366,0.11921875,215,0.3665,161.16511830275894,0.10175,0.642197117007151,0.6498441271845732,0.6417368528670009,0.6494330696907415,0.670430769276076,0.697200587404952,0.020997699585334456,5.956977907456359e-05,21,25,1000.0
MNAR,0.5,1.5,0.9,1000,shared,0.4529503937744953,0.1224375,12,0.943,2.973572115717008,0.089,0.549162508323488,0.5573540331366581,0.5440736283632128,0.5535114923265033,0.5535114923265033,0.5694342806360617,1.3322676295501878e-17,1.0,3,25,1000000000.0
MNAR,0.5,1.5,0.9,4000,shared,0.5007659873459318,0.15184375,12,0.982,2.867321830264796,0.1005,0.6639128427358273,0.6919847532362212,0.6637698973270151,0.6906647665812957,0.6906647665812957,0.698709924615794,8.881784197001253e-18,1.0,8,25,1000000000.0
MNAR,0.5,1.5,0.5,1000,shared,0.46996753752164194,0.1178125,57,0.702,14.345958887345661,0.098,0.6098240609072273,0.6330125963959299,0.6085763489370904,0.6253213508205739,0.6219176045585239,0.6598743839521769,-0.003403746262050016,0.4652088184521418,2,25,1000000000.0
MNAR,0.5,1.5,0.5,4000,shared,0.492129766401768,0.11584375,60,0.8565,13.95740703241044,0.10225,0.5751737663799326,0.6104366365618326,0.5757737699778722,0.6104010175241936,0.6108477112003985,0.6296537551503408,0.00044669367620495224,0.028327821813946143,11,25,1000000000.0
MNAR,0.5,1.5,0.1,1000,shared,0.4960742955857829,0.1161875,197,0.0,150.21272667168074,0.091,0.49493908867112396,0.47218923610237745,0.49472082905046827,0.4702656497934804,0.4702656497934804,0.4924215065182213,0.0,1.0,0,25,1000000000.0
MNAR,0.5,1.5,0.1,4000,shared,0.49173008716257366,0.11921875,215,0.3665,161.16511830275894,0.10025,0.5914312095728657,0.6150965513941755,0.5905288813528383,0.614955449459877,0.6199682656295739,0.6456269721410395,0.005012816169696768,0.005565187791739421,16,25,1000000000.0
MNAR,1.5,0.0,0.9,1000,shared,1.358851181323486,0.1224375,12,0.943,2.973572115717008,0.088,0.5472484173574081,0.5444303397261204,0.5454329863447522,0.5428208116423298,0.541653610944516,0.5588190211084624,-0.0011672006978136907,0.1588529378909529,7,25,1000000000.0
MNAR,1.5,0.0,0.9,4000,shared,1.5022979620377952,0.15184375,12,0.982,2.867321830264796,0.09775,0.6995840500712984,0.7030324142349693,0.6984778727496486,0.7006197888983289,0.7007098761712959,0.7057773975480565,9.008727296698104e-05,0.047067511344395,1,25,1000000000.0
MNAR,1.5,0.0,0.5,1000,shared,1.4099026125649259,0.1178125,57,0.702,14.345958887345661,0.098,0.6023606619787778,0.5955388184751375,0.6025257537120555,0.5965463963812145,0.5988437060413552,0.6431730581472973,0.0022973096601405897,0.34523107177184,3,25,1000000000.0
MNAR,1.5,0.0,0.5,4000,shared,1.4763892992053036,0.11584375,60,0.8565,13.95740703241044,0.10375,0.6436812166656058,0.6666701948285803,0.643688884940489,0.6660484943771812,0.6659136656392581,0.6733563936801856,-0.00013482873792304507,0.03165122103467292,14,25,1000000000.0
MNAR,1.5,0.0,0.1,1000,shared,1.4882228867573486,0.1161875,197,0.0,150.21272667168074,0.09,0.557585322671987,0.5289207038958886,0.5523241486148958,0.5303822652628116,0.5335852942922105,0.5701985053628252,0.0032030290293989495,0.3104944343172349,5,25,1000000000.0
MNAR,1.5,0.0,0.1,4000,shared,1.475190261487721,0.11921875,215,0.3665,161.16511830275894,0.10175,0.642197117007151,0.6498441271845732,0.6417368528670009,0.6494330696907415,0.670430769276076,0.697200587404952,0.020997699585334456,5.956977907456359e-05,21,25,1000.0
MNAR,1.5,1.5,0.9,1000,shared,1.358851181323486,0.1224375,12,0.943,2.973572115717008,0.089,0.549162508323488,0.5573540331366581,0.5440736283632128,0.5535114923265033,0.5535114923265033,0.5694342806360617,1.3322676295501878e-17,1.0,3,25,1000000000.0
MNAR,1.5,1.5,0.9,4000,shared,1.5022979620377952,0.15184375,12,0.982,2.867321830264796,0.1005,0.6639128427358273,0.6919847532362212,0.6637698973270151,0.6906647665812957,0.6906647665812957,0.698709924615794,8.881784197001253e-18,1.0,8,25,1000000000.0
MNAR,1.5,1.5,0.5,1000,shared,1.4099026125649259,0.1178125,57,0.702,14.345958887345661,0.098,0.6098240609072273,0.6330125963959299,0.6085763489370904,0.6253213508205739,0.6219176045585239,0.6598743839521769,-0.003403746262050016,0.4652088184521418,2,25,1000000000.0
MNAR,1.5,1.5,0.5,4000,shared,1.4763892992053036,0.11584375,60,0.8565,13.95740703241044,0.10225,0.5751737663799326,0.6104366365618326,0.5757737699778722,0.6104010175241936,0.6108477112003985,0.6296537551503408,0.00044669367620495224,0.028327821813946143,11,25,1000000000.0
MNAR,1.5,1.5,0.1,1000,shared,1.4882228867573486,0.1161875,197,0.0,150.21272667168074,0.091,0.49493908867112396,0.47218923610237745,0.49472082905046827,0.4702656497934804,0.4702656497934804,0.4924215065182213,0.0,1.0,0,25,1000000000.0
MNAR,1.5,1.5,0.1,4000,shared,1.475190261487721,0.11921875,215,0.3665,161.16511830275894,0.10025,0.5914312095728657,0.6150965513941755,0.5905288813528383,0.614955449459877,0.6199682656295739,0.6456269721410395,0.005012816169696768,0.005565187791739421,16,25,1000000000.0
