mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,pattern,,Linux-x86_64,1.0451708942760264e-16,0.1224375,12,0.943,2.973572115717008,0.106,0.694270940452424,0.6925492985420045,0.6927984248692576,0.6905074868712144,0.6901260024790951,0.70205862544791,-0.0003814843921193,0.6001794871405539,7,25,1000000000.0
MCAR,0.0,0.0,0.9,4000,pattern,,Linux-x86_64,1.4419888894057211e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.8531354768613771,0.8527321322800606,0.852663749253397,0.8536023873886011,0.8518654934783148,0.8570201163733455,-0.0017368939102863,0.208237147282542,7,25,1000.0
MCAR,0.0,0.0,0.5,1000,pattern,,Linux-x86_64,5.405289930926482e-16,0.1178125,57,0.702,14.34595888734566,0.104,0.7476580252149168,0.743650937432605,0.7477098675997947,0.7434828367556559,0.7395985304884095,0.7621500899545919,-0.0038843062672462,0.7943374591300819,10,25,100.0
MCAR,0.0,0.0,0.5,4000,pattern,,Linux-x86_64,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.09825,0.5100380454169876,0.5038203155516867,0.5095492248543915,0.5029081318722796,0.4946445924546522,0.5069624373197414,-0.0082635394176274,0.0044390926567921,1,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,pattern,,Linux-x86_64,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.108,0.6828892677026611,0.6807227910034815,0.684373614826839,0.6819667965139301,0.6777150330304822,0.6979656318484954,-0.004251763483448,0.2776054183635636,9,25,300.0
MCAR,0.0,0.0,0.1,4000,pattern,,Linux-x86_64,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.1,0.5986092087648922,0.5984708709418423,0.5985317918747041,0.5980749115455053,0.6132219395733858,0.6187429872863224,0.0151470280278803,0.000606766845636,18,25,300.0
MCAR,0.0,1.5,0.9,1000,pattern,,Linux-x86_64,1.0451708942760264e-16,0.1224375,12,0.943,2.973572115717008,0.104,0.6691175772784717,0.6787821036679584,0.6680926357697059,0.6744025775215146,0.675190939121874,0.6877576689449476,0.0007883616003595,0.947908646535539,9,25,1000.0
MCAR,0.0,1.5,0.9,4000,pattern,,Linux-x86_64,1.4419888894057211e-16,0.15184375,12,0.982,2.867321830264796,0.09525,0.7924515759562345,0.8565867312739508,0.7930671368107405,0.8560794788580713,0.8556172058482265,0.8582206050381211,-0.0004622730098447,0.7807393989831063,12,25,1000.0
MCAR,0.0,1.5,0.5,1000,pattern,,Linux-x86_64,5.405289930926482e-16,0.1178125,57,0.702,14.34595888734566,0.105,0.7065751089256379,0.7577354179533643,0.7045336416856691,0.7598137176053362,0.7575750960907689,0.7703190201301153,-0.0022386215145675,0.2954240558236417,7,25,1000.0
MCAR,0.0,1.5,0.5,4000,pattern,,Linux-x86_64,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.101,0.4550300967866589,0.4941814978143722,0.4561039497266757,0.4931125234386768,0.4965851235537861,0.5050967378586,0.0034726001151092,0.3304149033246245,13,25,1000.0
MCAR,0.0,1.5,0.1,1000,pattern,,Linux-x86_64,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.104,0.6422555819378362,0.649369710149475,0.6422632194389692,0.647551766786847,0.6479603888059724,0.6702410255039392,0.0004086220191253,0.3700944683002695,15,25,1000.0
MCAR,0.0,1.5,0.1,4000,pattern,,Linux-x86_64,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.0955,0.5234839372658898,0.5213931300827193,0.523281869350992,0.5211369374485506,0.5378821157304949,0.5433289662403744,0.0167451782819443,0.0007149577140808,17,25,300.0
MCAR,0.5,0.0,0.9,1000,pattern,,Linux-x86_64,0.4419903702470577,0.1224375,12,0.943,2.973572115717008,0.108,0.7561654479397949,0.7989790201641104,0.7545442201197012,0.796682018388537,0.7966699513944877,0.799235995439945,-1.2066994049293457e-05,0.252737478544408,3,25,1000000000.0
MCAR,0.5,0.0,0.9,4000,pattern,,Linux-x86_64,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.097,0.828222789600687,0.8291065323823248,0.8281367668695822,0.8295843177000113,0.8390393678970224,0.8419814044414218,0.009455050197011,0.0007149577140808,20,25,300.0
MCAR,0.5,0.0,0.5,1000,pattern,,Linux-x86_64,0.4823198386511533,0.1178125,57,0.702,14.34595888734566,0.104,0.5975571827347903,0.5499590792883119,0.5949215270983348,0.5522447797464922,0.5680883604028828,0.5942509364977258,0.0158435806563906,0.0308528249000229,16,25,300.0
MCAR,0.5,0.0,0.5,4000,pattern,,Linux-x86_64,0.4914935519577085,0.11584375,60,0.8565,13.95740703241044,0.097,0.5587100783662513,0.6359339735131327,0.5604951311180136,0.6401731145538473,0.6298477634571197,0.6423619268969124,-0.0103253510967277,0.0062102565904497,4,25,1000.0
MCAR,0.5,0.0,0.1,1000,pattern,,Linux-x86_64,0.4990821606464876,0.1161875,197,0.0,150.21272667168074,0.098,0.5744899529637908,0.5717722372008199,0.5700162167090607,0.5627531642218077,0.5517576937700035,0.5839599064291311,-0.0109954704518041,0.0987409489608765,8,25,300.0
MCAR,0.5,0.0,0.1,4000,pattern,,Linux-x86_64,0.5027305996624527,0.11921875,215,0.3665,161.16511830275894,0.102,0.4780000890162435,0.4848480204816152,0.4780067987969695,0.4849515986251893,0.5068356666431691,0.5115589476662039,0.0218840680179797,5.3882598876953125e-05,23,25,300.0
MCAR,0.5,1.5,0.9,1000,pattern,,Linux-x86_64,0.4419903702470577,0.1224375,12,0.943,2.973572115717008,0.114,0.7094776843300226,0.7072897166146004,0.7116437406480685,0.7108972232865541,0.7123978428714166,0.724012385097338,0.0015006195848625,0.6729404357300602,3,25,1000000000.0
MCAR,0.5,1.5,0.9,4000,pattern,,Linux-x86_64,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.097,0.7974980680793707,0.853877223592125,0.7977937849819952,0.8536984160250622,0.8576733898678478,0.8619610085183467,0.0039749738427855,0.0088223218917846,18,25,300.0
MCAR,0.5,1.5,0.5,1000,pattern,,Linux-x86_64,0.4823198386511533,0.1178125,57,0.702,14.34595888734566,0.109,0.5977269653400089,0.5839416960980601,0.5924470753798688,0.582122278172788,0.5894754019906571,0.6208286128175515,0.0073531238178689,0.1808123667785429,16,25,300.0
MCAR,0.5,1.5,0.5,4000,pattern,,Linux-x86_64,0.4914935519577085,0.11584375,60,0.8565,13.95740703241044,0.10125,0.4938817355558842,0.6246831222908303,0.4958681839067605,0.6263793358684006,0.619283677478996,0.6311693564339006,-0.0070956583894044,0.0431144467830753,0,25,1000000000.0
MCAR,0.5,1.5,0.1,1000,pattern,,Linux-x86_64,0.4990821606464876,0.1161875,197,0.0,150.21272667168074,0.101,0.5754186448512951,0.5472958757251312,0.5709765965460802,0.5473038175475757,0.5416597009673468,0.5600018902089983,-0.0056441165802288,0.909560938556112,8,25,1000.0
MCAR,0.5,1.5,0.1,4000,pattern,,Linux-x86_64,0.5027305996624527,0.11921875,215,0.3665,161.16511830275894,0.09925,0.4525323867535776,0.461164257585298,0.4524465933500209,0.4613288710681009,0.4822808378367909,0.4912514908349915,0.0209519667686899,0.0012963414192199,21,25,300.0
MCAR,1.5,0.0,0.9,1000,pattern,,Linux-x86_64,1.3259711107411731,0.1224375,12,0.943,2.973572115717008,0.105,0.760777508813563,0.8804273787738882,0.7576076815983533,0.8806181309932823,0.8795765070857259,0.8848904742908938,-0.0010416239075565,0.9431691277323474,12,25,1000000000.0
MCAR,1.5,0.0,0.9,4000,pattern,,Linux-x86_64,1.3110523515561932,0.15184375,12,0.982,2.867321830264796,0.09575,0.6918542951527935,0.6882608013113622,0.6914675048869475,0.6868849672173759,0.8003213492041378,0.8021726713181293,0.1134363819867617,5.960464477539064e-08,25,25,30.0
MCAR,1.5,0.0,0.5,1000,pattern,,Linux-x86_64,1.44695951595346,0.1178125,57,0.702,14.34595888734566,0.103,0.4200014184049715,0.3761022227236441,0.4208836757839676,0.3831524550112938,0.4596684855005207,0.4824848343372836,0.0765160304892269,0.0002498030662536,21,25,30.0
MCAR,1.5,0.0,0.5,4000,pattern,,Linux-x86_64,1.4744806558731254,0.11584375,60,0.8565,13.95740703241044,0.101,0.4973525819197497,0.6340314999495962,0.5014762660175375,0.6419697433657536,0.6303338780204458,0.6492415878211909,-0.0116358653453078,0.0096130799461386,5,25,1000.0
MCAR,1.5,0.0,0.1,1000,pattern,,Linux-x86_64,1.4972464819394624,0.1161875,197,0.0,150.21272667168074,0.098,0.4122822300050749,0.3968791887085167,0.414462311928745,0.404943471532745,0.397496204693149,0.4394441599757367,-0.0074472668395959,0.429067256009819,10,25,100.0
MCAR,1.5,0.0,0.1,4000,pattern,,Linux-x86_64,1.508191798987358,0.11921875,215,0.3665,161.16511830275894,0.10325,0.2902984646485034,0.2900995935863618,0.2892076188273955,0.2900725305149892,0.3235636389014899,0.329522205186276,0.0334911083865007,1.0073184967041016e-05,22,25,300.0
MCAR,1.5,1.5,0.9,1000,pattern,,Linux-x86_64,1.3259711107411731,0.1224375,12,0.943,2.973572115717008,0.103,0.754820312604862,0.8501032778763258,0.7551615537330867,0.8441133393375888,0.8439632050218014,0.8475561813267463,-0.0001501343157874,0.688613969687663,9,25,1000000000.0
MCAR,1.5,1.5,0.9,4000,pattern,,Linux-x86_64,1.3110523515561932,0.15184375,12,0.982,2.867321830264796,0.09725,0.7441023479536453,0.7877967412152911,0.7438098889297641,0.7865871395600808,0.8481216787147156,0.848979094871024,0.0615345391546348,5.960464477539064e-08,25,25,30.0
MCAR,1.5,1.5,0.5,1000,pattern,,Linux-x86_64,1.44695951595346,0.1178125,57,0.702,14.34595888734566,0.1,0.4582103585024829,0.4363057218347722,0.4589217083731038,0.4377844672318383,0.4792542788762908,0.5093448536151824,0.0414698116444524,0.0004894733428955,20,25,100.0
MCAR,1.5,1.5,0.5,4000,pattern,,Linux-x86_64,1.4744806558731254,0.11584375,60,0.8565,13.95740703241044,0.1005,0.480195042548542,0.6331936909886619,0.4834833675866804,0.642532789633118,0.6306676800817912,0.651425855363639,-0.0118651095513269,0.0086852111991234,4,25,1000.0
MCAR,1.5,1.5,0.1,1000,pattern,,Linux-x86_64,1.4972464819394624,0.1161875,197,0.0,150.21272667168074,0.102,0.3952335502751726,0.3696222124933958,0.3890219273519684,0.3705625543141473,0.3786825950395324,0.4048119062603645,0.0081200407253851,0.6482286941369625,12,25,300.0
MCAR,1.5,1.5,0.1,4000,pattern,,Linux-x86_64,1.508191798987358,0.11921875,215,0.3665,161.16511830275894,0.1,0.2774277399165183,0.2749513317527766,0.2769618507553807,0.2744033880153047,0.3039944264951646,0.3128945243053769,0.0295910384798599,8.803606033325195e-05,20,25,300.0
MAR,0.0,0.0,0.9,1000,pattern,,Linux-x86_64,1.0408340855860844e-16,0.1224375,12,0.943,2.973572115717008,0.097,0.7477301596104947,0.7409932466563489,0.7448115520542937,0.7345515346233052,0.7299984076692784,0.740466627167727,-0.0045531269540269,0.0468532847881471,3,25,1000000000.0
MAR,0.0,0.0,0.9,4000,pattern,,Linux-x86_64,1.0408340855860844e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.6771216132879723,0.6849192586131068,0.6772312960064455,0.6851916352489503,0.6883772604794955,0.6961941210349569,0.0031856252305451,0.1491775890628439,15,25,1000.0
MAR,0.0,0.0,0.5,1000,pattern,,Linux-x86_64,7.697835424647081e-16,0.1178125,57,0.702,14.34595888734566,0.094,0.6941343991997933,0.6689194924078096,0.695123047504487,0.6644561209939437,0.6623328669168922,0.6869506262605154,-0.0021232540770515,0.7711594104766846,11,25,300.0
MAR,0.0,0.0,0.5,4000,pattern,,Linux-x86_64,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10775,0.7959776274935446,0.7909083454762162,0.7953170368277606,0.7917658428853946,0.7973451782619858,0.8002095859097463,0.0055793353765912,0.0105108022689819,19,25,1000.0
