mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,pattern,,Linux-x86_64,1.0451708942760264e-16,0.1224375,12,0.943,2.973572115717008,0.106,0.694270940452424,0.6925492985420045,0.6927984248692576,0.6905074868712144,0.6908951761138864,0.70205862544791,0.0003876892426721,0.0255968053859485,6,25,1000000000.0
MCAR,0.0,0.0,0.9,4000,pattern,,Linux-x86_64,1.4419888894057211e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.8531354768613771,0.8527321322800606,0.852663749253397,0.8536023873886011,0.853602387388601,0.8570201163733455,-1.4654943925052067e-16,1.0,1,25,1000000000.0
MCAR,0.0,0.0,0.5,1000,pattern,,Linux-x86_64,5.405289930926482e-16,0.1178125,57,0.702,14.34595888734566,0.104,0.7476580252149168,0.743650937432605,0.7477098675997947,0.7434828367556559,0.7442597642719201,0.7621500899545919,0.0007769275162643,0.7150006546880893,2,25,1000000000.0
MCAR,0.0,0.0,0.5,4000,pattern,,Linux-x86_64,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.09825,0.5100380454169876,0.5038203155516867,0.5095492248543915,0.5029081318722796,0.5029081318722796,0.5069624373197414,0.0,1.0,0,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,pattern,,Linux-x86_64,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.108,0.6828892677026611,0.6807227910034815,0.684373614826839,0.6819667965139301,0.6819667965139301,0.6979656318484954,1.5543122344752193e-17,1.0,6,25,1000000000.0
MCAR,0.0,0.0,0.1,4000,pattern,,Linux-x86_64,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.1,0.5986092087648922,0.5984708709418423,0.5985317918747041,0.5980749115455053,0.6030868545166657,0.6187429872863224,0.0050119429711603,0.0366579286722145,9,25,1000000000.0
MCAR,0.0,1.5,0.9,1000,pattern,,Linux-x86_64,1.0451708942760264e-16,0.1224375,12,0.943,2.973572115717008,0.104,0.6691175772784717,0.6787821036679584,0.6680926357697059,0.6744025775215146,0.6744025775215146,0.6877576689449476,3.552713678800501e-17,1.0,5,25,1000000000.0
MCAR,0.0,1.5,0.9,4000,pattern,,Linux-x86_64,1.4419888894057211e-16,0.15184375,12,0.982,2.867321830264796,0.09525,0.7924515759562345,0.8565867312739508,0.7930671368107405,0.8560794788580713,0.8560794788580713,0.8582206050381211,1.0658141036401501e-16,1.0,15,25,1000000000.0
MCAR,0.0,1.5,0.5,1000,pattern,,Linux-x86_64,5.405289930926482e-16,0.1178125,57,0.702,14.34595888734566,0.105,0.7065751089256379,0.7577354179533643,0.7045336416856691,0.7598137176053362,0.7600952893409765,0.7703190201301153,0.0002815717356401,0.3173105078629141,1,25,1000000000.0
MCAR,0.0,1.5,0.5,4000,pattern,,Linux-x86_64,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.101,0.4550300967866589,0.4941814978143722,0.4561039497266757,0.4931125234386768,0.494562865386068,0.5050967378586,0.0014503419473912,0.5001842570707944,3,25,1000000000.0
MCAR,0.0,1.5,0.1,1000,pattern,,Linux-x86_64,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.104,0.6422555819378362,0.649369710149475,0.6422632194389692,0.647551766786847,0.6476534041276432,0.6702410255039392,0.000101637340796,0.0844690322532518,6,25,1000000000.0
MCAR,0.0,1.5,0.1,4000,pattern,,Linux-x86_64,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.0955,0.5234839372658898,0.5213931300827193,0.523281869350992,0.5211369374485506,0.5252482354350165,0.5433289662403744,0.0041112979864659,0.0099254858453232,9,25,1000000000.0
MCAR,0.5,0.0,0.9,1000,pattern,,Linux-x86_64,0.4419903702470577,0.1224375,12,0.943,2.973572115717008,0.108,0.7561654479397949,0.7989790201641104,0.7545442201197012,0.796682018388537,0.7966699513944877,0.799235995439945,-1.2066994049293457e-05,0.252737478544408,3,25,1000000000.0
